"Reference";"Qty";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Datasheet"
"C201;C202;C203;C205;C206;C207;C208;C209;C210";"9";"2.2u 10V X7R";"";"";"";"Capacitor_SMD:C_0603_1608Metric";""
"C213;C214;C215;C216;C217;C218;C226;C304;C305;C321;C322;C323;C324;C330;C331;C332;C333;C334;C344;C402;C502;C503;C504;C505;C602;C603;C605;C606;C608;C701;C703;C704;C706";"33";"100n 50V X7R";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"C219;C220;C221;C222;C223;C224;C301;C306;C307;C308;C309;C404";"12";"10n 50V X7R";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"C227;C302;C303;C325;C326;C327;C328;C329;C345;C607";"10";"1u 6.3V X7R";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"C340";"1";"47u 10V X7R";"";"";"";"Capacitor_SMD:C_1206_3216Metric";""
"C401";"1";"470n 25V X7R";"";"";"";"Capacitor_SMD:C_0603_1608Metric";""
"C403";"1";"10u 6.3V X7R";"";"";"";"Capacitor_SMD:C_0603_1608Metric";""
"C501;C507";"2";"1n 2kV X7R";"";"";"";"Capacitor_SMD:C_1210_3225Metric";""
"C601;C604";"2";"4.7n 2kV X7R";"";"";"";"Capacitor_SMD:C_1206_3216Metric";""
"C702;C705;C812;C813;C814";"5";"22u 10V X7R";"";"";"";"Capacitor_SMD:C_0805_2012Metric";""
"C801";"1";"3.3u X7R 25V";"";"";"";"Capacitor_SMD:C_0805_2012Metric";""
"C802;C803;C804;C805";"4";"10u X7R 25V";"";"";"";"Capacitor_SMD:C_0805_2012Metric";""
"C809;C810;C811";"3";"47n X7R 25V";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"C818;C819;C820";"3";"47n X7R 50V";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"C821;C824;C826";"3";"4.7n X7R 50V";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"C822;C823;C825";"3";"100p X7R 50V";"";"";"";"Capacitor_SMD:C_0402_1005Metric";""
"CN401";"1";"1.0T-4P_C145956";"";"";"";"project:CONN-SMD_1.0T-4P";"https://lcsc.com/product-detail/Connectors_socket-1-4P_C145956.html"
"CN601";"1";"2304372-1";"";"";"";"project:CONN-TH_2304372-1";"https://www.lcsc.com/datasheet/C5157090.pdf"
"CN701";"1";"HC-SFP-20P";"";"";"";"project:CONN-SMD_20P-P0.80_HCTL_HC-SFP-20P";"https://www.lcsc.com/datasheet/C2897291.pdf"
"CN801";"1";"39-30-1020";"";"";"";"project:CONN-TH_2P-P5.50_39-30-1020";"https://lcsc.com/product-detail/Others_MOLEX_39-30-1020_MOLEX-39-30-1020_C240832.html"
"D501;D502;D601";"3";"RClamp0524PATCT";"";"";"";"project:SLP2510P8_L2.5-W1.0-P0.50-BL";"https://lcsc.com/product-detail/TVS_SEMTECH_RClamp0524PATCT_RClamp0524PATCT_C40960.html"
"D801";"1";"SMF14CA_C353312";"";"";"";"project:SOD-123FL_L2.8-W1.8-LS3.7-BI";"https://lcsc.com/product-detail/Others_Shandong-Jingdao-Microelectronics-SMF14CA_C353312.html"
"J501";"1";"1149873";"";"";"";"1149873";"https://www.phoenixcontact.com/en-us/products/female-insert-cuc-sp-j1st-ar4lt-smd-led-1149873?type=pdf"
"J601";"1";"2374901-1";"";"";"";"23749011";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2374901%7FB3%7Fpdf%7FEnglish%7FENG_CD_2374901_B3.pdf%7F2374901-1"
"L201";"1";"BLM18HE102SN1D";"";"";"";"Inductor_SMD:L_0603_1608Metric";"https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_muRata_BLM18HE102SN1D_1KR-25-at100MHz_C85828.html"
"L202;L203";"2";"BLM18KG601SH1";"";"";"";"Inductor_SMD:L_0603_1608Metric";"https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_muRata_BLM18HE102SN1D_1KR-25-at100MHz_C85828.html"
"L501";"1";"G2401CE";"";"";"";"project:SMD-24_L15.1-W7.1-P1.00-LS10.0-BL";"https://www.lcsc.com/datasheet/C2904710.pdf"
"L601;L602";"2";"DLW32MH101XT2L";"";"";"";"easyeda2kicad:FILTER-SMD_4P-L3.2-W2.5-BL_DLW32SH510XK2L";""
"L701;L702;L801;L802";"4";"LVS303015-4R7M-N";"";"";"";"project:IND-SMD_L3.0-W3.0_NR3010";"https://lcsc.com/product-detail/Power-Inductors_Chilisin-Elec-LVS303015-4R7M-N_C280523.html"
"L803";"1";"FNR5040S4R7MT";"";"";"";"project:IND-SMD_L5.0-W5.0_FNR50XXS";"https://lcsc.com/product-detail/Power-Inductors_4-7uH-20_C167963.html"
"R201";"1";"0";"DNP";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R205;R206;R701;R702;R704;R705;R706;R707;R805";"9";"10k";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R209;R212;R213;R304;R309;R310";"6";"2.49k";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R210";"1";"13k";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R301";"1";"11k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R302";"1";"4.7k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R303";"1";"100 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R401;R404;R407;R607;R608;R901";"6";"10k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R402;R405";"2";"100";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R403;R806;R809";"3";"47k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R406;R505;R507";"3";"220";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R501;R502;R503;R504";"4";"75";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R506";"1";"1M";"";"";"";"Resistor_SMD:R_1206_3216Metric";""
"R601;R602;R604;R605";"4";"1k 1%";"";"";"";"Resistor_SMD:R_0805_2012Metric";""
"R603;R606";"2";"100k 2kV";"";"";"";"Resistor_SMD:R_1206_3216Metric";""
"R703;R712";"2";"330m";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R708;R709";"2";"DNP";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R801";"1";"230k";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R802;R803;R804";"3";"150k";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R807;R810";"2";"15k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R808";"1";"100k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R811";"1";"5.6k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"R812;R813;R814";"3";"20k 1%";"";"";"";"Resistor_SMD:R_0402_1005Metric";""
"SW902";"1";"SMWA-08B-TP";"";"";"";"project:SW-TH_16P-L21.9-W6.2-P2.54-LS2.54";"https://www.lcsc.com/datasheet/C5299542.pdf"
"U201";"1";"DP83TC812RRHARQ1";"";"";"";"project:VQFN-36_L6.0-W6.0-P0.50-TL-EP3.6";""
"U301";"1";"DP83869HMRGZR";"";"";"";"project:VQFN-48_L7.0-W7.0-P0.50-TL-EP";""
"U401";"1";"MSPM0L1306TRHBR_C20613927";"";"";"";"project:VQFN-32_L5.0-W5.0-P0.50-TL-EP3.5";"https://www.lcsc.com/datasheet/C20613927.pdf"
"U402";"1";"HVRTB-3433EPX";"";"";"";"easyeda2kicad:LED-SMD_6P-L3.4-W3.4-P1.10_HVRTB-3433EPX";""
"U601";"1";"TMUX136RSER";"";"";"";"project:UQFN-10_L2.0-W1.5-P0.50-TL";"https://www.lcsc.com/datasheet/C2673272.pdf"
"U701";"1";"HC-SFP-01L";"";"";"";"project:TH_HC-SFP-01L";"https://www.lcsc.com/datasheet/C2897292.pdf"
"U801";"1";"TPS65251RHAR";"";"";"";"project:VQFN-40_L6.0-W6.0-P0.50-TL-EP";"https://lcsc.com/product-detail/DC-DC-Converters_TI_TPS65251RHAR_TPS65251RHAR_C60246.html"
"X201;X301";"2";"SX3M25.000B10G40TNN";"";"";"";"project:OSC-SMD_4P-L3.2-W2.5-BL-1";"https://www.lcsc.com/datasheet/C5452698.pdf"
